Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Mahmoud Abdul-Rauf,PG,28,SAC,31,0,530,10.1,26.8,0.377,0.5,3.0,0.161,9.6,23.8,0.405,1.6,1.6,1.0,0.6,3.0,3.6,5.7,1.6,0.1,1.9,3.0,22.3,0,90,110
Tariq Abdul-Wahad,SG,23,SAC,59,16,959,7.8,19.4,0.40299999999999997,0.2,1.0,0.21100000000000002,7.6,18.4,0.414,4.6,6.8,0.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,0,91,108
Shareef Abdur-Rahim,SF,21,VAN,82,82,2950,11.5,23.8,0.485,0.4,0.9,0.41200000000000003,11.2,22.9,0.488,8.9,11.3,0.784,4.0,6.3,10.3,3.8,1.6,1.3,4.5,3.6,32.3,0,109,112
Cory Alexander,PG,24,TOT,60,22,1298,7.1,16.6,0.428,2.7,7.3,0.375,4.4,9.3,0.469,3.3,4.2,0.784,0.7,5.3,6.1,8.7,2.9,0.5,4.6,4.1,20.2,0,103,106
Ray Allen*,SG,22,MIL,82,82,3287,9.1,21.3,0.428,2.2,6.0,0.364,6.9,15.3,0.45299999999999996,5.5,6.3,0.875,2.1,4.5,6.6,5.8,1.8,0.2,4.3,4.0,25.9,0,106,108
Derek Anderson,SF,23,CLE,66,13,1839,6.9,17.0,0.408,0.5,2.4,0.20199999999999999,6.4,14.6,0.442,8.0,9.1,0.873,1.6,3.8,5.4,6.6,2.5,0.4,3.7,4.0,22.4,0,107,101
Greg Anderson,C,33,ATL,50,0,398,5.0,11.1,0.444,0.0,0.7,0.0,5.0,10.5,0.474,2.2,5.6,0.39,5.4,10.9,16.2,2.1,2.6,1.4,2.3,11.7,12.1,0,98,99
Kenny Anderson,PG,27,TOT,61,56,1858,7.6,19.2,0.39799999999999996,1.6,4.6,0.35600000000000004,6.0,14.6,0.41100000000000003,4.4,5.5,0.789,1.1,3.8,4.9,9.8,2.5,0.0,4.1,3.8,21.3,0,103,105
Nick Anderson,SF,30,ORL,58,44,1701,11.1,24.4,0.455,2.5,6.9,0.36,8.6,17.5,0.493,4.1,6.4,0.638,3.2,6.4,9.6,3.9,2.3,0.7,2.8,3.2,28.8,0,109,103
Shandon Anderson,SG,24,UTA,82,2,1602,9.0,16.8,0.5379999999999999,0.2,1.1,0.21899999999999997,8.8,15.7,0.56,4.6,6.2,0.735,2.9,4.7,7.6,3.0,2.2,0.6,3.1,4.9,22.9,0,112,106
Chris Anstey,C,23,DAL,41,8,680,7.2,18.1,0.39799999999999996,0.2,1.3,0.188,7.0,16.9,0.414,4.2,5.8,0.716,4.2,8.2,12.3,2.7,2.4,2.1,3.2,7.5,18.8,0,94,103
Greg Anthony,PG,30,SEA,80,0,1021,7.9,18.3,0.43,3.5,8.3,0.415,4.4,9.9,0.442,2.8,4.2,0.6629999999999999,0.9,4.9,5.8,10.7,3.4,0.2,4.8,5.1,21.9,0,106,103
B.J. Armstrong,PG,30,TOT,66,0,831,6.8,13.7,0.493,0.6,2.3,0.257,6.2,11.5,0.539,2.7,3.2,0.84,1.0,3.9,4.9,9.7,1.9,0.0,2.7,4.8,16.8,0,115,108
Darrell Armstrong,PG,29,ORL,48,17,1236,7.0,16.9,0.41100000000000003,1.1,3.0,0.368,5.8,13.9,0.42,4.7,5.5,0.8540000000000001,2.9,4.2,7.1,10.5,2.6,0.2,5.0,4.3,19.7,0,104,105
Vincent Askew,SG,31,POR,30,5,443,2.3,6.5,0.35200000000000004,0.0,0.2,0.0,2.3,6.3,0.365,3.4,4.7,0.718,2.5,5.7,8.2,4.6,2.3,0.6,4.2,4.7,7.9,0,85,102
Keith Askins,SF,30,MIA,46,12,681,3.1,9.8,0.32,1.7,5.9,0.284,1.4,3.8,0.375,1.0,1.5,0.632,2.2,5.9,8.1,2.3,2.2,1.0,2.1,8.6,8.9,0,91,102
Stacey Augmon,SG,29,POR,71,23,1445,5.7,13.7,0.414,0.0,0.3,0.14300000000000002,5.6,13.5,0.419,3.5,5.8,0.603,3.8,4.8,8.7,3.2,2.1,1.2,3.0,5.3,14.9,0,96,103
Isaac Austin,C,28,TOT,78,50,2266,9.6,20.6,0.466,0.0,0.2,0.0,9.6,20.4,0.47,5.7,8.6,0.669,4.7,8.5,13.2,4.1,1.4,1.3,4.9,5.5,24.9,0,100,105
Vin Baker,C,26,SEA,82,82,2944,11.5,21.1,0.542,0.0,0.1,0.14300000000000002,11.4,21.0,0.545,5.6,9.6,0.591,5.2,6.7,11.9,2.8,1.7,1.6,3.2,5.0,28.6,0,112,104
Charles Barkley*,PF,34,HOU,68,41,2243,8.5,17.5,0.485,0.4,2.0,0.214,8.1,15.5,0.52,7.0,9.3,0.746,5.7,13.0,18.7,5.1,1.7,0.7,3.5,4.4,24.4,0,116,104
Dana Barros,PG,30,BOS,80,15,1686,8.6,18.6,0.461,3.1,7.5,0.40700000000000003,5.5,11.1,0.499,3.7,4.4,0.847,0.9,3.8,4.7,8.7,2.5,0.2,3.3,3.8,23.9,0,117,107
Brent Barry,SG,26,TOT,58,36,1600,7.0,16.6,0.42100000000000004,2.9,7.5,0.39299999999999996,4.0,9.1,0.444,3.8,4.4,0.858,0.9,4.6,5.6,5.0,2.1,0.9,3.4,3.9,20.6,0,108,110
