Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,SG,28,DAL,14,0,204,4.8,10.2,0.466,0.0,0.2,0.0,4.8,10.1,0.474,0.5,1.1,0.5,2.5,4.6,7.1,3.7,1.1,0.5,1.2,4.6,10.1
Shareef Abdur-Rahim,PF,26,ATL,81,81,3087,6.6,13.8,0.478,0.2,0.7,0.35,6.4,13.1,0.485,5.3,6.3,0.841,2.0,5.9,7.9,2.8,1.0,0.4,2.5,2.8,18.8
Courtney Alexander,PG,25,NOH,66,7,1360,5.1,13.4,0.382,0.5,1.5,0.33299999999999996,4.6,11.9,0.38799999999999996,3.1,3.9,0.8079999999999999,1.0,2.1,3.1,2.1,0.8,0.2,1.8,3.3,13.8
Malik Allen,PF,24,MIA,80,73,2318,5.2,12.3,0.424,0.0,0.1,0.0,5.2,12.2,0.426,1.5,1.9,0.802,2.1,4.5,6.6,0.8,0.6,1.2,2.0,3.6,11.9
Ray Allen*,SG,27,TOT,76,75,2880,7.5,17.0,0.439,2.5,6.7,0.377,5.0,10.4,0.478,3.9,4.3,0.9159999999999999,1.2,3.6,4.8,4.2,1.3,0.2,2.5,2.7,21.4
Rafer Alston,PG,26,TOR,47,4,980,5.1,12.3,0.415,1.9,4.8,0.392,3.2,7.5,0.429,1.4,2.0,0.685,0.8,3.2,3.9,7.1,1.4,0.6,3.2,4.4,13.4
John Amaechi,C,32,UTA,50,1,474,2.8,9.0,0.314,0.0,0.0,0.0,2.8,9.0,0.314,1.9,3.9,0.48100000000000004,2.0,3.9,5.8,1.6,1.1,0.5,2.6,3.8,7.5
Chris Andersen,C,24,DEN,59,3,907,4.5,11.3,0.4,0.0,0.0,0.0,4.5,11.3,0.401,3.1,5.6,0.55,4.3,6.5,10.9,1.3,1.2,2.4,2.4,3.6,12.1
Derek Anderson,PG,28,POR,76,76,2556,5.0,11.7,0.42700000000000005,1.6,4.7,0.35,3.4,7.1,0.47700000000000004,3.3,3.8,0.8590000000000001,0.7,3.0,3.7,4.6,1.3,0.2,1.8,2.0,14.9
Kenny Anderson,PG,32,TOT,61,2,1135,5.2,12.1,0.42700000000000005,0.0,0.2,0.14300000000000002,5.1,11.9,0.43200000000000005,1.4,1.8,0.789,1.0,3.2,4.2,6.3,1.8,0.2,2.4,3.4,11.8
Shandon Anderson,SF,29,NYK,82,9,1731,5.2,11.2,0.462,1.1,2.9,0.371,4.1,8.3,0.494,2.9,4.0,0.732,1.3,4.0,5.3,1.8,1.5,0.4,2.4,3.7,14.3
Robert Archibald,PF,22,MEM,12,0,72,3.0,10.0,0.3,0.0,0.0,0.0,3.0,10.0,0.3,3.5,9.0,0.389,3.0,5.5,8.5,1.5,0.0,1.5,3.5,4.5,9.5
Gilbert Arenas,PG,21,GSW,82,82,2866,6.4,14.8,0.431,1.4,3.9,0.348,5.0,10.9,0.461,4.6,5.9,0.7909999999999999,1.2,3.6,4.8,6.5,1.6,0.2,3.6,3.3,18.8
Brandon Armstrong,SG,22,NJN,17,0,69,4.7,14.1,0.33299999999999996,0.5,3.1,0.16699999999999998,4.2,11.0,0.381,2.6,3.1,0.833,0.0,2.1,2.1,1.0,1.6,0.5,2.6,4.2,12.5
Darrell Armstrong,PG,34,ORL,82,23,2350,4.0,9.9,0.409,1.2,3.6,0.336,2.8,6.3,0.45,2.5,2.9,0.878,1.4,3.1,4.5,4.9,2.1,0.2,2.5,2.6,11.8
Carlos Arroyo,PG,23,UTA,44,0,287,6.3,13.7,0.45899999999999996,0.4,0.9,0.429,5.9,12.8,0.461,2.3,2.8,0.818,1.4,1.9,3.3,6.6,1.5,0.1,3.8,3.5,15.2
Chucky Atkins,PG,28,DET,65,7,1398,4.3,12.0,0.361,2.2,6.2,0.355,2.1,5.7,0.368,1.0,1.3,0.816,0.5,1.9,2.5,4.5,0.7,0.1,2.0,2.8,11.9
Stacey Augmon,SG,34,NOH,70,3,862,3.3,8.0,0.41100000000000003,0.0,0.3,0.0,3.3,7.7,0.42700000000000005,2.3,3.0,0.75,1.1,3.9,5.0,2.9,1.1,0.4,1.7,3.3,8.9
Dalibor Bagarić,C,22,CHI,10,0,76,3.8,12.3,0.308,0.0,0.0,0.0,3.8,12.3,0.308,1.4,1.9,0.75,3.3,6.2,9.5,1.9,1.4,1.4,2.4,5.2,9.0
Vin Baker,C,31,BOS,52,9,942,3.8,7.9,0.478,0.0,0.2,0.0,3.8,7.8,0.488,2.8,4.1,0.6729999999999999,3.4,4.1,7.6,1.1,0.8,1.1,2.3,5.6,10.3
Brent Barry,SG,31,SEA,75,68,2480,3.8,8.4,0.45799999999999996,1.7,4.3,0.40299999999999997,2.1,4.1,0.514,1.9,2.3,0.795,0.7,3.7,4.4,5.6,1.6,0.2,2.1,2.9,11.2
Jon Barry,SG,33,DET,80,0,1473,4.7,10.4,0.45,2.1,5.2,0.40700000000000003,2.5,5.1,0.495,2.1,2.4,0.86,0.8,3.6,4.4,5.0,1.5,0.3,2.0,2.5,13.6
Maceo Baston,PF,27,TOR,16,0,106,5.1,8.5,0.6,0.0,0.0,0.0,5.1,8.5,0.6,3.4,4.1,0.833,1.4,6.5,7.8,0.0,1.4,3.7,2.0,5.4,13.6
Mengke Bateer,C,27,SAS,12,0,46,3.1,13.3,0.235,0.8,2.3,0.33299999999999996,2.3,11.0,0.214,0.0,1.6,0.0,1.6,6.3,7.8,3.1,0.0,0.0,4.7,11.0,7.0
Mike Batiste,PF,25,MEM,75,2,1248,5.7,13.5,0.42200000000000004,0.5,2.3,0.222,5.2,11.1,0.46399999999999997,2.0,2.5,0.784,2.4,5.0,7.4,1.5,1.2,0.5,2.0,3.5,13.9
Tony Battie,C,26,BOS,67,62,1683,4.3,7.9,0.539,0.0,0.1,0.2,4.2,7.8,0.544,1.9,2.5,0.746,3.2,6.1,9.3,1.0,0.7,1.7,1.0,4.2,10.4
Shane Battier,SF,24,MEM,78,47,2383,4.2,8.6,0.483,1.3,3.3,0.39799999999999996,2.9,5.3,0.535,1.8,2.2,0.828,1.9,3.3,5.2,1.6,1.5,1.3,1.0,3.1,11.4
Lonny Baxter,C,24,CHI,55,0,682,5.1,10.9,0.466,0.0,0.1,0.0,5.1,10.8,0.47100000000000003,3.7,5.4,0.68,3.4,5.3,8.7,0.8,0.5,1.2,2.4,7.1,13.8
Raja Bell,SG,26,DAL,75,32,1173,2.9,6.5,0.441,0.6,1.6,0.41200000000000003,2.2,4.9,0.45,0.7,1.0,0.6759999999999999,1.4,3.0,4.5,1.7,1.6,0.2,1.3,4.1,7.1
Jonathan Bender,SF,22,IND,46,2,819,4.9,11.2,0.441,0.8,2.3,0.358,4.1,8.8,0.46299999999999997,2.6,3.7,0.7140000000000001,1.8,4.0,5.8,1.8,0.4,2.5,1.8,3.8,13.3
