Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,31,VAN,41,0,11.9,2.9,6.0,0.488,0.1,0.3,0.28600000000000003,2.8,5.7,0.5,0.496,0.5,0.7,0.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5
Tariq Abdul-Wahad,SG,26,DEN,29,12,14.5,1.5,3.8,0.387,0.1,0.3,0.4,1.3,3.5,0.386,0.405,0.7,1.2,0.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8
Shareef Abdur-Rahim,SF,24,VAN,81,81,40.0,7.5,15.8,0.47200000000000003,0.1,0.8,0.188,7.3,15.0,0.48700000000000004,0.47700000000000004,5.5,6.6,0.8340000000000001,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5
Cory Alexander,PG,27,ORL,26,0,8.7,0.7,2.2,0.321,0.2,0.6,0.25,0.5,1.5,0.35,0.35700000000000004,0.5,0.7,0.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0
Courtney Alexander,PG,23,TOT,65,24,21.3,3.7,8.8,0.41700000000000004,0.3,0.7,0.37,3.4,8.1,0.42100000000000004,0.43200000000000005,1.9,2.3,0.82,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5
Ray Allen*,SG,25,MIL,82,82,38.2,7.7,16.0,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0
Rafer Alston,PG,24,MIL,37,2,7.8,0.8,2.3,0.35700000000000004,0.2,0.8,0.267,0.6,1.5,0.40700000000000003,0.405,0.2,0.4,0.6920000000000001,0.1,0.7,0.8,1.8,0.4,0.0,0.5,0.7,2.1
John Amaechi,C,30,ORL,82,36,20.9,2.9,7.2,0.4,0.0,0.1,0.0,2.9,7.1,0.405,0.4,2.1,3.4,0.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9
Derek Anderson,SG,26,SAS,82,82,34.9,5.0,12.1,0.41600000000000004,1.2,3.1,0.39899999999999997,3.8,9.0,0.42200000000000004,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5
Kenny Anderson,PG,30,BOS,33,28,25.7,2.7,6.9,0.38799999999999996,0.3,1.0,0.33299999999999996,2.3,5.9,0.397,0.41200000000000003,1.8,2.2,0.831,0.5,1.7,2.2,4.1,1.3,0.1,1.6,1.9,7.5
Nick Anderson,SG,33,SAC,21,0,8.0,0.7,2.7,0.24600000000000002,0.5,1.9,0.256,0.2,0.9,0.222,0.33299999999999996,0.0,0.0,0.0,0.1,1.0,1.2,0.6,0.5,0.2,0.3,0.6,1.8
Shandon Anderson,SG,27,HOU,82,82,29.2,3.2,7.2,0.446,0.6,2.1,0.271,2.6,5.1,0.517,0.485,1.7,2.3,0.7340000000000001,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7
Greg Anthony,PG,33,POR,58,0,14.8,1.7,4.4,0.38299999999999995,1.1,2.7,0.409,0.6,1.6,0.34,0.512,0.4,0.6,0.657,0.4,0.7,1.1,1.4,0.7,0.1,0.7,1.1,4.9
Darrell Armstrong,PG,32,ORL,75,75,36.9,5.5,13.4,0.41200000000000003,1.9,5.4,0.355,3.6,8.0,0.451,0.484,2.9,3.3,0.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9
Chucky Atkins,PG,26,DET,81,75,29.2,4.7,11.8,0.39899999999999997,1.5,4.2,0.35700000000000004,3.2,7.6,0.423,0.46299999999999997,1.1,1.6,0.6920000000000001,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0
Stacey Augmon,SG,32,POR,66,23,17.9,1.9,4.0,0.47700000000000004,0.0,0.1,0.0,1.9,4.0,0.485,0.47700000000000004,0.9,1.3,0.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7
Isaac Austin,C,31,VAN,52,16,16.3,1.8,5.2,0.35600000000000004,0.1,0.5,0.25,1.7,4.7,0.366,0.36700000000000005,0.5,0.8,0.7,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3
William Avery,PG,21,MIN,55,0,8.4,1.0,2.6,0.382,0.3,1.1,0.271,0.7,1.5,0.45899999999999996,0.43799999999999994,0.5,0.7,0.778,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8
Dalibor Bagarić,C,20,CHI,35,0,7.4,0.5,1.9,0.262,0.0,0.0,0.0,0.5,1.8,0.266,0.262,0.4,0.8,0.46399999999999997,0.6,1.0,1.6,0.3,0.3,0.5,0.6,1.3,1.3
Vin Baker,PF,29,SEA,76,27,28.0,4.6,10.8,0.42200000000000004,0.0,0.2,0.063,4.6,10.6,0.429,0.423,3.1,4.2,0.723,2.4,3.3,5.7,1.2,0.5,1.0,2.1,3.5,12.2
Erick Barkley,PG,22,POR,8,0,4.8,1.0,2.8,0.364,0.4,1.0,0.375,0.6,1.8,0.35700000000000004,0.43200000000000005,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.3,0.0,0.6,0.3,2.4
Dana Barros,PG,33,DET,60,0,18.0,3.1,6.9,0.444,0.7,1.8,0.419,2.3,5.1,0.45299999999999996,0.498,1.1,1.3,0.85,0.1,1.5,1.6,1.8,0.5,0.0,1.0,1.1,8.0
Brent Barry,SG,29,SEA,67,20,26.5,3.0,6.0,0.494,1.6,3.4,0.47600000000000003,1.3,2.6,0.517,0.63,1.3,1.5,0.816,0.5,2.7,3.1,3.4,1.2,0.2,1.3,1.9,8.8
Jon Barry,SG,31,SAC,62,2,16.3,1.7,4.1,0.40399999999999997,0.7,2.1,0.348,0.9,2.0,0.46299999999999997,0.494,1.0,1.2,0.877,0.3,1.3,1.5,2.1,0.5,0.1,0.9,1.1,5.1
Tony Battie,C,24,BOS,40,25,21.1,2.7,5.0,0.537,0.0,0.1,0.0,2.7,5.0,0.545,0.537,1.1,1.7,0.638,1.8,4.0,5.8,0.4,0.7,1.5,0.9,3.2,6.5
Raja Bell,SG,24,PHI,5,0,6.0,0.4,1.4,0.28600000000000003,0.2,0.6,0.33299999999999996,0.2,0.8,0.25,0.35700000000000004,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.2,1.0
